lower_type,upper_type,upper_num,first_line_correction,last_line_correction
riser,liros.ntsl250,3,1,1
riser,liros.ntsl250,4,1,1
riser,liros.tsl500,4,1,1
riser,liros.ltc120,3,1,1
riser,liros.ltc120,4,1,1
liros.ltc65,liros.ltc65,2,2,2
liros.dsl350,liros.tsl140,4,17.,21.
liros.dsl70,liros.dsl70,2,3.,4.
liros.dsl70,liros.dsl70,3,4.,5.
liros.ltc200,liros.ltc80,2,5.,7.
liros.ntsl250,liros.ltc120,2,9.,11.
liros.ntsl250,liros.ltc120,3,9.,12.
liros.ntsl250,liros.ltc160,2,10.,13.
liros.ntsl250,liros.ltc65,7,7.,9.
liros.tsl140,liros.dsl70,2,5.,6.
liros.tsl500,liros.ltc160,2,11.,12.
liros.tsl500,liros.ltc200,2,11.,12.
riser,liros.tsl500,2,1.,1.
riser,liros.tsl500,3,1.,1.
riser,edelrid.A-8000-190,2,1,1
riser,edelrid.A-8000-280,2,1,1
riser,edelrid.A-8000-190,3,1,1
riser,edelrid.A-8000-280,3,1,1
riser,edelrid.A-8000-190,4,1,1
riser,edelrid.A-8000-280,4,1,1
edelrid.A-8000-190,liros.ltc65,7,7.,11.
edelrid.A-8000-190,liros.ltc160,2,8.,9.
edelrid.A-8000-190,liros.ltc120,2,7.,8.
edelrid.A-8000-190,liros.ltc120,3,7.,8.
edelrid.A-8000-280,liros.ltc160,2,9.,10.
edelrid.A-8000-280,liros.ltc200,2,10.,11.5
edelrid.A-8000-280,liros.ltc60,2,5.,6.
